2 Letter Mnemonics,Front,Back
2 Letter Mnemonics,AP,Applejack
2 Letter Mnemonics,AQ,Aquarium
2 Letter Mnemonics,AR,Aragorn
2 Letter Mnemonics,AS,Austin powers
2 Letter Mnemonics,AT,Articuno
2 Letter Mnemonics,AU,Aurora
2 Letter Mnemonics,AV,Avatar
2 Letter Mnemonics,AW,A&W
2 Letter Mnemonics,AX,axe
2 Letter Mnemonics,AY,Ayuzawa(misaki)
2 Letter Mnemonics,AZ,Azumaril
2 Letter Mnemonics,Front,Back
2 Letter Mnemonics,BA,Bacon
2 Letter Mnemonics,BB,Bobby
2 Letter Mnemonics,BC,Bic
2 Letter Mnemonics,BD,Bond
2 Letter Mnemonics,BE,Beedrill
2 Letter Mnemonics,BF,Briefs
2 Letter Mnemonics,BG,Bugs Bunny
2 Letter Mnemonics,BH,Beach Ball
2 Letter Mnemonics,BI,Brian
2 Letter Mnemonics,BJ,BadgeBrook
2 Letter Mnemonics,BK,Balrog
2 Letter Mnemonics,BL,bomb
2 Letter Mnemonics,BM,Bennington
2 Letter Mnemonics,BN,Boton
2 Letter Mnemonics,BO,blimp
2 Letter Mnemonics,BP,Bok choy
2 Letter Mnemonics,BQ,Bear
2 Letter Mnemonics,BR,Bass
2 Letter Mnemonics,BS,Bat
2 Letter Mnemonics,BT,Buu
2 Letter Mnemonics,BU,beaver
2 Letter Mnemonics,BV,Bowser
2 Letter Mnemonics,BW,Bickslow
2 Letter Mnemonics,BX,Bayleaf
2 Letter Mnemonics,BY,Buzz
2 Letter Mnemonics,BZ,Buzz  // Reused due to lack of unique mnemonic in original list
2 Letter Mnemonics,Front,Back
2 Letter Mnemonics,CA,Caley
2 Letter Mnemonics,CB,crab
2 Letter Mnemonics,CC,Cactus
2 Letter Mnemonics,CD,Claudia
2 Letter Mnemonics,CE,cement
2 Letter Mnemonics,CF,coffin
2 Letter Mnemonics,CG,cigar
2 Letter Mnemonics,CH,Cinch
2 Letter Mnemonics,CI,china
2 Letter Mnemonics,CJ,cage
2 Letter Mnemonics,CK,Cake
2 Letter Mnemonics,CL,CellCharming
2 Letter Mnemonics,CM,Chainsaw
2 Letter Mnemonics,CN,coconut
2 Letter Mnemonics,CO,Chopper
2 Letter Mnemonics,CP,croqutte
2 Letter Mnemonics,CQ,Charizard
