GST ,Front,Back,,
GST ,The study of fish,Ichthyology,,
GST ,Fastest swimming fish,Sailfish,,
GST ,Sargasso sea fish,Eel,,
GST ,Blood-sucking eel,Lamprey,,
GST ,Skipjack, yellow fin & blue fin,Tuna,
GST ,“Tiger of the sea”,Barracuda,,
GST ,Mako, tope & nurse types,Shark,
GST ,Largest fish,Whale shark,,
GST ,Largest predatory fish,Great white shark,,
GST ,Fish that attaches itself to a shark,Remora,,
GST ,South American predatory fish,Piranha,,
GST ,Devilfish aka.,Manta ray,,
GST ,Recently discovered prehistoric fish,Coelacanth,,
GST ,Fish with both eyes on the same side of its head,Flatfish,,
GST ,Caviar comes from this fish,Sturgeon,,
GST ,Fish that inflates when threatened,Puffer fish,,
GST ,Brook & rainbow fish,Trout,,
GST ,Portuguese man-o’-war & seawasp,Jellyfish,,
GST ,Sepia ink fish,Cuttlefish,,
GST ,Full name for “Musky”,Muskellunge,,
GST ,“Freshwater shark” of muskellunge family,Pike,,
GST ,Thai aquarium fish,Betta aka Siamese fighting fish,,
GST ,Species that has ability to change color,Grouper,,
GST ,Coho, chinook & sockeye type of fish,Salmon,
GST ,Largest salmon,Chinook,,
GST ,Pipefish relative; male carries young in its pouch,Sea horse,,
GST ,Fish that spawn on beach under full moon,Grunion,,
GST ,Most poisonous fish,Stonefish,,
GST ,Fish in The Old Man and the Sea,Marlin,,
GST ,Fish disease characterized by white spots,Ich,,
GST ,Horse belonging to: Roy Rogers,Trigger,,
GST ,Horse belonging to: Dale Evans,Buttermilk,,
GST ,Horse belonging to: The Lone Ranger,Silver,,
GST ,Horse belonging to: Tonto,Scout,,
GST ,Horse belonging to: Tom Mix,Tony,,
GST ,Horse belonging to: Hopalong Cassidy,Topper,,
GST ,Horse belonging to: Sergeant Preston,Rex,,
GST ,Horse belonging to: Gene Autry,Champion,,
GST ,Horse belonging to: The Cisco Kid,Diablo,,
GST ,Horse belonging to: Robert E. Lee,Traveller,,
GST ,Horse belonging to: John Tyler,The General,,
GST ,Horse belonging to: U.S. Grant,Cincinnati,,
GST ,Horse belonging to: Duke of Wellington,Copenhagen,,
GST ,Horse belonging to: Napoleon,Marengo,,
GST ,Horse belonging to: Alexander the Great,Bucephalus,,
GST ,Horse belonging to: Don Quixote,Rocinante,,
GST ,Horse belonging to: Wild Bill Hickock,Buckshot,,
GST ,Horse belonging to: El Cid,Babieca,,
GST ,Horse belonging to: Richard III,Surrey,,
GST ,Horse belonging to: Caligula,Incitatus,,
GST ,The horse in George Orwell’s Animal Farm,Boxer,,
GST ,Son of War Admiral,Man-o’War,,
GST ,First horse to win $1,0,0,Citation
GST ,Painted horse,Pinto,,
GST ,Bedouin horse,Arabian,,
GST ,Smallest British breed,Shetland,,
GST ,Horse named after Scottish county,Clydesdale,,
GST ,Horse bred by the Nez Perce Indians,Appaloosa,,
GST ,Horse bred in Vienna,Lipizaner,,
GST ,Original wild horse of U.S. west,Mustang,,
GST ,Spanish-bred horse used by Conquistadores,Andalusian,,
GST ,Portuguese bred horse,Lusitano,,
GST ,Tennessee “stepping” horse,Tennessee Walker,,
GST ,Triple Crown Winner: 2018,Justify,,
GST ,Triple Crown Winner: 2015,American Pharoah,,
GST ,Triple Crown Winner: 1978,Affirmed,,
GST ,Triple Crown Winner: 1977,Seattle Slew,,
GST ,Triple Crown Winner: 1973,Secretariat,,
GST ,Triple Crown Winner: 1948,Citation,,
GST ,Triple Crown Winner: 1946,Assault,,
GST ,Triple Crown Winner: 1943,Count Fleet,,
GST ,Triple Crown Winner: 1941,Whirlaway,,
GST ,Triple Crown Winner: 1937,War Admiral,,
GST ,Triple Crown Winner: 1935,Omaha,,
