Clue,Response,Frequency,Jeopardy Pavlovs
'80s Cop Show,Miami Vice,3,Jeopardy Pavlovs
'90s Sitcom,Seinfeld,3,Jeopardy Pavlovs
...Baby One More Time,Britney Spears,5,Jeopardy Pavlovs
1 Kings,Solomon,4,Jeopardy Pavlovs
10 Amendments,the Bill of Rights,4,Jeopardy Pavlovs
10 Bill,Alexander Hamilton,4,Jeopardy Pavlovs
10 Commandments,the Decalogue,3,Jeopardy Pavlovs
10 Days,Yom Kippur,3,Jeopardy Pavlovs
10 Things I Hate About You,The Taming of the Shrew,3,Jeopardy Pavlovs
100 Meters,Jesse Owens,3,Jeopardy Pavlovs
100 Points,Wilt Chamberlain,3,Jeopardy Pavlovs
100-meter Dash,the decathlon,4,Jeopardy Pavlovs
100-meter Freestyle,Johnny Weissmuller,5,Jeopardy Pavlovs
10000 Lakes,Minnesota,7,Jeopardy Pavlovs
10000 Maniacs,Natalie Merchant,4,Jeopardy Pavlovs
109-acre Country,Vatican City,3,Jeopardy Pavlovs
10th Sign,Capricorn,3,Jeopardy Pavlovs
11 Islands,Christo,3,Jeopardy Pavlovs
11 Signers,Liberia,3,Jeopardy Pavlovs
11 Stripes,Liberia,3,Jeopardy Pavlovs
11 Times,Jupiter,3,Jeopardy Pavlovs
110-story Chicago,the Sears Tower,3,Jeopardy Pavlovs
11th Sign,Aquarius,3,Jeopardy Pavlovs
12 Labors,Hercules,3,Jeopardy Pavlovs
12 Strokes,Tiger Woods,3,Jeopardy Pavlovs
13 Colonies,Virginia,3,Jeopardy Pavlovs
134 Degrees,Death Valley National Park,4,Jeopardy Pavlovs
13th State,Rhode Island,3,Jeopardy Pavlovs
14 Films,Sir Basil Rathbone,3,Jeopardy Pavlovs
14 Islands,Stockholm,3,Jeopardy Pavlovs
14-line Poems,Sonneteer,3,Jeopardy Pavlovs
15 Billion,Chrysler,4,Jeopardy Pavlovs
15 Million,the Louisiana Purchase,3,Jeopardy Pavlovs
15 Minutes,Andy Warhol,3,Jeopardy Pavlovs
15 Red Balls,Snooker,3,Jeopardy Pavlovs
150th Anniversary,Sesquicentennial,3,Jeopardy Pavlovs
17th Amendment,Senators,4,Jeopardy Pavlovs
18 Miles Wide,the Grand Canyon,3,Jeopardy Pavlovs
1812 Overture,Peter I. Tchaikovsky,4,Jeopardy Pavlovs
1853-56 War,The Crimean War,3,Jeopardy Pavlovs
1860s Novel,Little Women,3,Jeopardy Pavlovs
18th Amendment,Prohibition,3,Jeopardy Pavlovs
19 Feet,the pole vault,3,Jeopardy Pavlovs
1920s Dance,the Charleston,4,Jeopardy Pavlovs
19th Amendment,Susan B. Anthony,3,Jeopardy Pavlovs
1st President,Theodore Roosevelt,3,Jeopardy Pavlovs
2 1/2 Feet High,LIlliput,3,Jeopardy Pavlovs
2 Atria,a ventricle,3,Jeopardy Pavlovs
2 Cities,Sodom and Gomorrah,5,Jeopardy Pavlovs
2 Colors,red and white,4,Jeopardy Pavlovs
2 Elements,hydrogen and helium,4,Jeopardy Pavlovs
2 Fathoms,Mark Twain,4,Jeopardy Pavlovs
2 Inches,Crabapples,3,Jeopardy Pavlovs
2 Larger,an isthmus,3,Jeopardy Pavlovs
2 Letters,Q and Z,3,Jeopardy Pavlovs
2 Miles,Howler Monkey,3,Jeopardy Pavlovs
2 Minutes,the Gettysburg Address,3,Jeopardy Pavlovs
2 Months,Trenton,3,Jeopardy Pavlovs
2 Moons Of Mars,Phobos and Deimos,3,Jeopardy Pavlovs
2 Nonconsecutive,Grover Cleveland,3,Jeopardy Pavlovs
2 Parallel Sides,a trapezoid,3,Jeopardy Pavlovs
2 Planets,Mercury and Venus,5,Jeopardy Pavlovs
2 Reactor,Three Mile Island,3,Jeopardy Pavlovs
2 Seasons,spring and fall,3,Jeopardy Pavlovs
2 Serpents,Hercules,3,Jeopardy Pavlovs
2 States,Alaska and Hawaii,4,Jeopardy Pavlovs
2 Surveyors,Mason & Dixon,3,Jeopardy Pavlovs
2 Things,death and taxes,4,Jeopardy Pavlovs
2-cent Piece,In God We Trust,3,Jeopardy Pavlovs
2-word Name,a mountain lion,3,Jeopardy Pavlovs
20 Bill,Andrew Jackson,4,Jeopardy Pavlovs
20 Feet,the pole vault,3,Jeopardy Pavlovs
20000 Feet,The Twilight Zone,3,Jeopardy Pavlovs
20000 Leagues Under The Sea,Captain Nemo,3,Jeopardy Pavlovs
200th Anniversary,a bicentennial,3,Jeopardy Pavlovs
20th Letter,upsilon,3,Jeopardy Pavlovs
20th President,Garfield,3,Jeopardy Pavlovs
22 1776,Nathan Hale,3,Jeopardy Pavlovs
22 Pounds,a kilogram,3,Jeopardy Pavlovs
24th President,Grover Cleveland,3,Jeopardy Pavlovs
25 Miles,Marathon,3,Jeopardy Pavlovs
250 Million,Andrew Carnegie,3,Jeopardy Pavlovs
25th Century,Buck Rogers,3,Jeopardy Pavlovs
27 Years,Nelson Mandela,4,Jeopardy Pavlovs
277 Miles Long,the Grand Canyon,3,Jeopardy Pavlovs
2nd Century,Ptolemy,6,Jeopardy Pavlovs
2nd Largest,New Guinea,3,Jeopardy Pavlovs
2nd Wife,Anne Boleyn,3,Jeopardy Pavlovs
3 Blind Mice,carving knife,3,Jeopardy Pavlovs
3 Stars,The Philippines,3,Jeopardy Pavlovs
3-leafed Plant,Poison ivy,3,Jeopardy Pavlovs
30 1955,James Dean,3,Jeopardy Pavlovs
30 Rock,Tina Fey,3,Jeopardy Pavlovs
30 Years,a generation,3,Jeopardy Pavlovs
30-minute Meals,Rachael Ray,3,Jeopardy Pavlovs
3001 The Final Odyssey,Arthur C. Clarke,3,Jeopardy Pavlovs
31 Miles,the Chunnel,3,Jeopardy Pavlovs
35th State,West Virginia,3,Jeopardy Pavlovs
37 Degrees,Celsius,3,Jeopardy Pavlovs
3rd Rock From The Sun,John Lithgow,4,Jeopardy Pavlovs
4 Basic Forces,gravity,4,Jeopardy Pavlovs
4 Couples,the quadrille,3,Jeopardy Pavlovs
